transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T08544,U166,2019-01-10,expense,rent,1406,bank transfer,pune,Netflix subscription
T11138,U106,2019-01-10,expense,food,117,cash,jaipur,Netflix subscription
T01846,U152,2019-01-10,expense,rent,1917,bank transfer,ahmedabad,Course fee via app
T11084,U053,2019-01-11,income,bonus,57190,upi,jaipur,Salary
T12408,U182,2019-01-11,expense,food,2464,upi,lucknow,Gift
T03810,U001,2019-01-11,expense,food,110,card,hyderabad,Monthly rent
T05912,U102,2019-01-11,income,other income,64409,upi,delhi,
T09541,U036,2019-01-11,expense,rent,234,cash,lucknow,
T09825,U079,2019-01-11,expense,education,3182,cash,jaipur,Netflix subscription
T01511,U076,2019-01-11,expense,rent,275,bank transfer,bengaluru,Netflix subscription via app
T03984,U031,2019-01-11,income,other income,91038,unknown,unknown,Monthly rent
T13274,U038,2019-01-11,expense,food,273,unknown,pune,Grocery shopping
T07125,U127,2019-01-11,income,bonus,54080,bank transfer,pune,Dinner at resto
T14697,U150,2019-01-11,expense,travel,2032,cash,bengaluru,Course fee
T10790,U156,2019-01-12,expense,savings,331,bank transfer,chennai,Salary
T09607,U016,2019-01-12,expense,education,701,cash,lucknow,Netflix subscription
T14791,U105,2019-01-12,expense,rent,1435,cash,lucknow,Doctor visit via app
T05818,U098,2019-01-12,expense,food,116,upi,mumbai,Doctor visit
T05357,U109,2019-01-12,expense,entertainment,84,unknown,unknown,Netflix subscription
T01016,U041,2019-01-12,expense,others,517,cash,kolkata,Doctor visit
T06781,U115,2019-01-12,expense,rent,5139,bank transfer,chennai,
T05002,U120,2019-01-12,expense,savings,280,card,mumbai,Doctor visit late
T14200,U112,2019-01-12,expense,rent,128,upi,unknown,Paid electricity bill
T08111,U073,2019-01-12,expense,rent,1292,cash,ahmedabad,Gift via app
T11218,U165,2019-01-12,expense,food,378,bank transfer,chennai,Monthly rent
T09748,U022,2019-01-12,expense,retn,46,upi,ahmedabad,Paid electricity bill
T14262,U052,2019-01-12,expense,food,411,bank transfer,chennai,Doctor visit
T08289,U033,2019-01-13,expense,savinngs,612,card,chennai,
T08890,U141,2019-01-13,expense,rent,229,card,unknown,
T02081,U086,2019-01-13,expense,travel,170,upi,delhi,z3gozNOzGcpF47yGLh2m
T09841,U109,2019-01-13,expense,utilities,1387,cash,bengaluru,Dinner at resto
T03648,U178,2019-01-13,expense,trael,216,cash,lucknow,Netflix subscription
T00698,U091,2019-01-13,expense,travel,194,unknown,mumbai,Uber to office
T01433,U185,2019-01-13,expense,rent,1658,card,kolkata,Grocery shopping
T12925,U045,2019-01-14,expense,entertainment,1771,card,bengaluru,Grocery shopping
T12731,U123,2019-01-14,expense,food,1240,upi,lucknow,VZ69c1k8KzBPM1
T05118,U050,2019-01-14,expense,rent,104,cash,pune,Grocery shopping cash
T04487,U023,2019-01-14,income,bonus,51630,bank transfer,bengaluru,Grocery shopping late
T02189,U180,2019-01-14,expense,food,191,card,hyderabad,Monthly rent
T04077,U065,2019-01-14,expense,entertainment,1794,card,lucknow,Doctor visit
T07963,U040,2019-01-14,expense,rent,180,bank transfer,kolkata,Dinner at resto
T06672,U189,2019-01-14,income,salary,67468,bank transfer,lucknow,Salary
T12758,U047,2019-01-14,income,bonus,48964,upi,jaipur,Gift
T11893,U086,2019-01-15,expense,rent,2536,cash,kolkata,0SxAS4yTr
T08967,U072,2019-01-15,expense,others,101,upi,mumbai,Uber to office
T01747,U104,2019-01-15,expense,food,386,card,jaipur,Course fee
T06018,U159,2019-01-15,expense,utilities,335,upi,hyderabad,Gift
T03121,U096,2019-01-15,expense,others,2514,upi,unknown,Salary
T12817,U153,2019-01-15,income,other income,54447,card,bengaluru,Course fee
T00465,U172,2019-01-15,expense,rent,290,card,mumbai,Doctor visit
T07611,U192,2019-01-15,expense,utilities,321,cash,lucknow,Paid electricity bill cash
T07224,U086,2019-01-15,income,salary,55604,upi,chennai,Grocery shopping
T00376,U027,2019-01-16,expense,rent,2905,cash,bengaluru,Dinner at resto
T00664,U148,2019-01-16,expense,rent,278,cash,pune,Paid electricity bill
T14366,U053,2019-01-16,expense,unknown,1278,card,bengaluru,Uber to office cash
T10507,U088,2019-01-16,expense,rent,91,bank transfer,delhi,Doctor visit late
T00775,U119,2019-01-16,expense,rent,127,bank transfer,jaipur,Paid electricity bill
T06771,U095,2019-01-16,expense,rent,364,card,chennai,Grocery shopping
T10062,U096,2019-01-16,expense,entertainment,299,cash,hyderabad,Uber to office
T13407,U078,2019-01-16,income,salary,37473,cash,hyderabad,Uber to office
T08119,U100,2019-01-17,income,bonus,60174,card,hyderabad,Grocery shopping
T05920,U042,2019-01-17,expense,food,136,bank transfer,delhi,Doctor visit
T13336,U161,2019-01-17,expense,travel,293,upi,mumbai,Monthly rent
T03940,U155,2019-01-17,expense,others,267,card,ahmedabad,Uber to office late
T09072,U041,2019-01-17,expense,utilities,115,bank transfer,mumbai,Doctor visit
T09877,U174,2019-01-17,expense,travell,1277,upi,lucknow,Grocery shopping
T10187,U146,2019-01-17,expense,utilities,557,cash,jaipur,Doctor visit
T04042,U145,2019-01-17,expense,utilitise,2273,cash,pune,Dinner at resto
T02282,U184,2019-01-17,expense,savings,747,bank transfer,bengaluru,Gift via app
T02400,U135,2019-01-17,expense,travel,886,cash,bengaluru,Paid electricity bill
T05857,U172,2019-01-17,income,other income,56592,cash,bengaluru,Paid electricity bill
T09258,U019,2019-01-17,expense,utilitiess,437,cash,kolkata,Uber to office
T01760,U154,2019-01-18,expense,rent,198,pui,unknown,Paid electricity bill
T00153,U043,2019-01-18,income,other income,39562,bank transfer,hyderabad,Grocery shopping via app
T03383,U015,2019-01-19,expense,utilities,267,bank transfer,hyderabad,Grocery shopping cash
T02450,U181,2019-01-19,expense,rent,621,card,chennai,Dinner at resto
T00676,U052,2019-01-19,expense,utilities,149,bank transfer,chennai,Netflix subscription
T01276,U090,2019-01-19,expense,travel,1210,upi,pune,Salary late
T08152,U132,2019-01-19,income,other income,66818,upi,mumbai,Uber to office
T02134,U082,2019-01-19,income,salary,17976,card,delhi,Doctor visit
T01471,U061,2019-01-19,expense,food,58,cash,chennai,Dinner at resto
T07145,U081,2019-01-19,income,bonus,48887,upi,unknown,Grocery shopping
T02696,U036,2019-01-19,expense,unknown,209,card,delhi,Uber to office via app
T08255,U095,2019-01-19,expense,othhers,892,cash,chennai,Gift
T01480,U036,2019-01-19,expense,entertainment,43,upi,bengaluru,Doctor visit
T02964,U054,2019-01-19,expense,reent,257,card,jaipur,Uber to office
T11994,U085,2019-01-19,income,bonus,44995,bank transfer,bengaluru,Salary
T04993,U130,2019-01-19,expense,education,609,bank transfer,hyderabad,Uber to office
T03320,U144,2019-01-19,expense,food,244,bank transfer,ahmedabad,Paid electricity bill
T00268,U010,2019-01-20,income,other income,33785,cash,delhi,
T14741,U039,2019-01-20,expense,utilities,3708,cash,chennai,NH7J3pgU3VTsrWSnG
T07767,U115,2019-01-20,expense,travel,2185,cash,bengaluru,Dinner at resto late
T11889,U152,2019-01-20,expense,food,321,upi,jaipur,Course fee
T05252,U086,2019-01-20,expense,food,259,upi,hyderabad,Grocery shopping
T10445,U121,2019-01-20,expense,food,78,upi,jaipur,
T14077,U190,2019-01-20,income,salary,74095,cash,unknown,Grocery shopping
T08653,U189,2019-01-20,expense,rent,1016,bank transfer,lucknow,Dinner at resto
T02861,U057,2019-01-21,expense,food,996,upi,kolkata,Gift
T01539,U028,2019-01-21,expense,rent,34,unknown,ahmedabad,Netflix subscription cash
T11925,U026,2019-01-21,expense,savings,425,bank transfer,bengaluru,Salary
T02514,U094,2019-01-21,income,salary,45389,upi,delhi,Grocery shopping
T05001,U105,2019-01-21,expense,unknown,496,cash,ahmedabad,Grocery shopping
T12699,U012,2019-01-22,expense,utilities,169,upi,mumbai,Salary
T02567,U174,2019-01-22,expense,food,2090,bank transfer,jaipur,Course fee late
T05978,U172,2019-01-22,expense,rent,470,upi,hyderabad,Course fee
T12393,U009,2019-01-22,expense,travel,868,card,chennai,Uber to office cash
T05487,U012,2019-01-22,expense,travel,1290,cash,hyderabad,Netflix subscription
T14557,U099,2019-01-22,expense,rent,732,cassh,chennai,Paid electricity bill
T00823,U081,2019-01-22,expense,rent,833,bank transfer,hyderabad,
T02252,U040,2019-01-22,income,other income,35763,card,lucknow,Dinner at resto
T05547,U010,2019-01-22,expense,rent,2047,bank transfer,pune,Uber to office
T10208,U118,2019-01-22,expense,food,274,cash,chennai,Salary
T06450,U041,2019-01-22,expense,fodo,660,card,kolkata,Course fee cash
T04874,U119,2019-01-22,expense,food,2531,card,mumbai,Salary
T06670,U182,2019-01-23,expense,food,4204,card,ahmedabad,
T09451,U054,2019-01-23,expense,others,1485,upi,chennai,
T00554,U005,2019-01-23,expense,food,81,card,ahmedabad,Netflix subscription
T00255,U028,2019-01-23,expense,others,449,card,mumbai,Monthly rent
T13195,U180,2019-01-23,expense,rent,383,bank transfer,jaipur,Doctor visit
T07436,U024,2019-01-23,expense,education,310,cash,chennai,Uber to office via app
T06662,U174,2019-01-23,expense,travel,142,cash,jaipur,Netflix subscription
T00209,U064,2019-01-23,income,bonus,63751,cash,bengaluru,Salary via app
T02835,U075,2019-01-23,income,other income,75278,cash,kolkata,Monthly rent
T00259,U032,2019-01-23,income,other incoe,56621,cash,chennai,
T11454,U005,2019-01-23,expense,travel,786,card,delhi,Monthly rent
T06113,U191,2019-01-23,expense,savings,971,card,delhi,Uber to office
T10769,U007,2019-01-23,income,salary,87901,bank transfer,jaipur,Netflix subscription
T04511,U059,2019-01-24,expense,savigs,158,card,delhi,Uber to office
T02741,U081,2019-01-24,income,bonus,88213,bank transfer,pune,Monthly rent
T07529,U110,2019-01-24,expense,rent,150,cash,jaipur,Netflix subscription
T01221,U010,2019-01-24,expense,rent,852,upi,hyderabad,Course fee
T07413,U087,2019-01-24,expense,education,1090,unknown,chennai,Netflix subscription
T02623,U137,2019-01-24,expense,rent,305,card,mumbai,Dinner at resto
T09330,U121,2019-01-24,expense,food,127,bank transfer,mumbai,Doctor visit
T03133,U099,2019-01-24,expense,food,290,upi,lucknow,Salary
T05237,U052,2019-01-24,expense,rent,714,bank transfer,kolkata,Grocery shopping
T01251,U136,2019-01-25,expense,retn,1364,card,chennai,
T05111,U151,2019-01-25,expense,tarvel,2534,cash,chennai,Netflix subscription via app
T13458,U092,2019-01-25,expense,entertainment,656,card,kolkata,Doctor visit late
T05518,U091,2019-01-25,expense,food,165,card,lucknow,Uber to office via app
T13985,U150,2019-01-25,expense,utilities,3843,bank transfer,bengaluru,Doctor visit
T13552,U005,2019-01-25,expense,food,2960,bank transfer,mumbai,Dinner at resto
T03020,U008,2019-01-25,expense,food,143,cash,unknown,
T14680,U178,2019-01-26,expense,rent,198,bank transfer,jaipur,Paid electricity bill
T10499,U161,2019-01-26,expense,food,531,bank transfer,bengaluru,Kw7YpZ1m7LRl2OG
T00697,U011,2019-01-26,expense,food,166,bank transfer,jaipur,Uber to office
T14583,U056,2019-01-26,expense,rent,174,bank transfer,lucknow,Doctor visit
T08430,U105,2019-01-26,expense,education,513,bank transfer,chennai,Uber to office late
T06367,U145,2019-01-26,expense,entertainment,966,bank transfer,ahmedabad,Gift
T00218,U129,2019-01-26,income,salary,43244,cash,lucknow,Doctor visit
T06335,U187,2019-01-26,expense,rent,119,bank transfer,unknown,Monthly rent
T13061,U091,2019-01-26,expense,utilities,374,cash,hyderabad,Paid electricity bill
T00426,U035,2019-01-26,income,bonus,53800,card,ahmedabad,Netflix subscription cash
T08909,U136,2019-01-26,expense,food,164,cash,jaipur,Paid electricity bill
T13888,U115,2019-01-26,income,other income,49772,bank transfer,lucknow,Netflix subscription
T01055,U107,2019-01-27,expense,reent,2108,cash,hyderabad,Salary
T02238,U169,2019-01-27,expense,rent,937,cash,kolkata,Grocery shopping late
T12001,U028,2019-01-27,expense,rent,425,cash,chennai,
T14538,U153,2019-01-27,expense,rent,5000,cash,hyderabad,Uber to office
T08389,U108,2019-01-27,expense,utilities,1450,upi,bengaluru,Dinner at resto
T14561,U192,2019-01-27,income,oother income,44955,card,mumbai,Gift
T02372,U101,2019-01-27,expense,rent,195,cash,lucknow,Salary
T14440,U065,2019-01-27,expense,entertainment,322,bank transfer,lucknow,Doctor visit
T03517,U023,2019-01-27,expense,rent,309,cash,delhi,Doctor visit
T00246,U040,2019-01-27,expense,others,571,upi,lucknow,Course fee
T11907,U039,2019-01-27,expense,rent,351,bank transfer,jaipur,Uber to office
T07089,U051,2019-01-27,expense,others,635,unknown,pune,
T07834,U002,2019-01-27,expense,rrent,80,bank transfer,bengaluru,Paid electricity bill late
T01357,U110,2019-01-27,expense,utilities,171,bank transfer,unknown,Paid electricity bill
T05351,U023,2019-01-27,expense,rent,309,cash,delhi,Doctor visit
T13829,U025,2019-01-27,expense,savings,284,card,delhi,Dinner at resto
T14040,U098,2019-01-28,expense,rent,1872,card,ahmedabad,Monthly rent
T04422,U145,2019-01-28,expense,travel,1380,upi,kolkata,Grocery shopping
T11516,U063,2019-01-28,income,bonus,85851,card,mumbai,
T00760,U020,2019-01-28,expense,food,279,bank transfer,lucknow,Course fee
T06137,U095,2019-01-28,expense,food,176,upi,delhi,Paid electricity bill
T03091,U019,2019-01-28,expense,rent,104,cash,bengaluru,Gift
T12127,U040,2019-01-28,income,salary,64233,upi,unknown,Netflix subscription late
T03270,U093,2019-01-28,expense,food,155,card,hyderabad,Uber to office
T13243,U164,2019-01-28,expense,rent,107,bank transfer,mumbai,Uber to office
T09077,U039,2019-01-28,income,salary,56845,bank transfer,mumbai,Paid electricity bill cash
T09146,U178,2019-01-28,expense,travel,436,upi,hyderabad,Gift
T06738,U081,2019-01-29,income,salary,55503,card,hyderabad,Gift
T10559,U062,2019-01-29,expense,entertainment,1065,upi,delhi,Doctor visit
T12396,U004,2019-01-29,expense,travel,181,upi,hyderabad,Monthly rent
T06156,U054,2019-01-29,expense,savings,195,unknown,delhi,Dinner at resto
T14449,U075,2019-01-29,income,bonus,70523,upi,delhi,Uber to office late
T09362,U066,2019-01-29,expense,utilities,39,card,chennai,Doctor visit
T01470,U189,2019-01-29,expense,savings,113,cash,hyderabad,Salary via app
T00198,U102,2019-01-29,expense,education,97,upi,lucknow,Monthly rent
T03769,U065,2019-01-30,expense,savings,769,bank transfer,kolkata,Monthly rent
T08208,U185,2019-01-30,expense,savings,2425,cash,mumbai,Monthly rent
T13013,U063,2019-01-30,income,other income,52707,card,kolkata,aDoQuVSp
T09937,U070,2019-01-30,expense,food,709,card,chennai,Gift
T06766,U077,2019-01-30,expense,entertainment,110,bank transfer,kolkata,Paid electricity bill
T11597,U148,2019-01-30,income,bonus,69874,bank transfer,bengaluru,Dinner at resto
T13376,U045,2019-01-30,income,bonus,56560,card,chennai,Salary cash
T07927,U150,2019-01-30,expense,food,925,upi,ahmedabad,
T04884,U165,2019-01-30,expense,rent,201,card,pune,Paid electricity bill
T13728,U172,2019-01-30,expense,utilities,926,card,ahmedabad,Paid electricity bill
T05997,U121,2019-01-30,expense,food,881,bank transfer,hyderabad,Salary
T06361,U073,2019-01-30,expense,travel,66,cash,hyderabad,
T07381,U117,2019-01-30,expense,food,3085,bank transfer,kolkata,Netflix subscription
T14832,U133,2019-01-30,income,other income,80324,cash,jaipur,Grocery shopping
T12485,U159,2019-01-31,expense,foood,156,cash,chennai,Gift
T02885,U121,2019-01-31,expense,food,293,cash,jaipur,Uber to office cash
T03705,U095,2019-01-31,expense,food,9012,cash,unknown,4ZMzEIsxsyu99
T08428,U021,2019-01-31,expense,entertainment,319,card,pune,Monthly rent
T11974,U054,2019-01-31,expense,utilities,1123,upi,mumbai,Gift
T07542,U128,2019-01-31,expense,food,569,card,hyderabad,Netflix subscription
T00093,U031,2019-01-31,income,other income,69762,unknown,lucknow,Uber to office cash
T12538,U097,2019-01-31,expense,others,404,upi,delhi,Monthly rent
T13375,U050,2019-01-31,expense,travel,152,upi,jaipur,Course fee
T09107,U096,2019-01-31,expense,travel,1497,card,unknown,Monthly rent
T08451,U011,2019-02-01,expense,unknown,71,cash,lucknow,Uber to office
T13738,U091,2019-02-01,expense,travel,1120,card,delhi,Paid electricity bill
T10562,U153,2019-02-01,expense,savings,112,card,kolkata,6lZePSW5T1dPJkyc
T04748,U124,2019-02-01,expense,entertainment,71,bank transfer,hyderabad,
T11337,U136,2019-02-01,expense,rent,70,upi,jaipur,Grocery shopping
T02549,U107,2019-02-01,expense,food,1011,cash,jaipur,Dinner at resto
T07018,U156,2019-02-02,expense,food,194,cash,lucknow,Course fee
T01765,U088,2019-02-02,expense,food,1902,card,lucknow,Grocery shopping
T04578,U130,2019-02-02,income,bonus,39942,card,jaipur,Doctor visit
T00270,U012,2019-02-02,expense,others,190,bank transfer,mumbai,Uber to office
T11850,U003,2019-02-02,expense,utilities,1562,cash,lucknow,HnlBnYN8
T08928,U073,2019-02-02,expense,rent,991,bank transfer,hyderabad,Grocery shopping
T11839,U170,2019-02-03,expense,food,49,cash,delhi,Salary
T02186,U190,2019-02-03,income,otehr income,59622,card,kolkata,Uber to office
T07432,U160,2019-02-03,expense,rent,451,cash,mumbai,Gift
T07833,U010,2019-02-03,expense,others,214,upi,bengaluru,Course fee
T12407,U128,2019-02-03,income,other income,58374,unknown,mumbai,Uber to office
T10878,U132,2019-02-03,expense,food,80,cash,lucknow,Salary via app
T07077,U055,2019-02-03,expense,food,245,bank transfer,jaipur,Doctor visit
T08786,U118,2019-02-03,expense,food,826,card,chennai,Salary cash
T13881,U165,2019-02-03,expense,entertainment,908,card,chennai,Monthly rent
T06834,U127,2019-02-03,expense,food,466,bank transfer,hyderabad,
T00857,U173,2019-02-03,expense,food,191,card,chennai,Monthly rent via app
T03221,U100,2019-02-04,expense,food,438,cash,jaipur,Uber to office
T00685,U152,2019-02-04,expense,food,480,bank transfer,lucknow,Course fee
T14166,U020,2019-02-04,expense,food,402,bank transfer,chennai,Course fee
T02875,U140,2019-02-04,income,salary,52811,cash,ahmedabad,Doctor visit
T01386,U065,2019-02-04,expense,food,178,bank transfer,pune,Salary cash
T08200,U039,2019-02-04,expense,food,810,bank transfer,bengaluru,Salary
T02178,U142,2019-02-04,income,other income,63733,bank transfer,lucknow,Course fee
T02795,U137,2019-02-05,expense,food,155,upi,ahmedabad,Dinner at resto
T12590,U119,2019-02-05,expense,travel,47,card,hyderabad,Uber to office
T13441,U187,2019-02-05,expense,travel,415,cash,chennai,Salary late
T02944,U118,2019-02-05,expense,rent,1249,bank transfer,bengaluru,Gift via app
T01587,U189,2019-02-05,expense,utilities,557,card,jaipur,Monthly rent
T08090,U072,2019-02-05,income,bonus,58791,cash,delhi,
T05637,U110,2019-02-05,expense,food,949,cash,hyderabad,Paid electricity bill
T12166,U172,2019-02-05,expense,rent,1149,bank transfer,kolkata,Course fee
T07852,U019,2019-02-05,expense,rent,435,ban transfer,ahmedabad,
T10217,U092,2019-02-05,expense,food,64,card,lucknow,Gift late
T11723,U066,2019-02-05,expense,food,321,bank transfer,chennai,
T03459,U055,2019-02-06,expense,rent,357,upi,bengaluru,Salary via app
T06027,U128,2019-02-06,expense,food,859,card,lucknow,Salary cash
T03889,U152,2019-02-06,expense,food,832,cash,kolkata,Gift
T11670,U134,2019-02-06,expense,rent,327,bank transfer,jaipur,Dinner at resto
T02212,U165,2019-02-06,expense,rent,119,cash,delhi,Paid electricity bill via app
T08681,U173,2019-02-06,expense,food,601,card,lucknow,Grocery shopping
T05117,U186,2019-02-06,expense,entertaniment,353,cash,bengaluru,Gift
T08484,U138,2019-02-06,expense,utilities,1277,upi,chennai,Course fee
T11665,U158,2019-02-06,expense,rent,286,bank transfer,mumbai,Paid electricity bill
T09011,U175,2019-02-06,expense,food,165,upi,mumbai,Grocery shopping
T12862,U112,2019-02-06,expense,savings,1583,cash,mumbai,Course fee
T11777,U086,2019-02-07,expense,travel,54,cash,pune,Monthly rent
T00537,U181,2019-02-07,expense,utiilities,550,upi,chennai,
T07331,U106,2019-02-07,expense,entertainment,159,card,bengaluru,Dinner at resto
